keyword,seed,intent,suggested_title,notes,priority
"배당락일 계산 방법","배당락","정보형","배당락일 계산 방법, 며칠 전까지 사야 배당받나","배당기준일에서 거꾸로 세는 계산법 / 결제 D+2와 영업일 기준 주의",1
"배당받으려면 언제까지 매수","배당락","정보형","배당받으려면 언제까지 매수? 마지막 매수일 정리","배당락일 전날이 마지막 매수일인 이유 / 결제일(D+2) 반영해 날짜 잡기",2
"배당락 후 매도 타이밍","배당락","정보형","배당락 후 매도 타이밍, 언제 팔아야 손해 없나","배당락 조정폭과 주가 회복 기간 / 배당세 포함 실수익으로 판단",3
"배당락 손해 안 보는 방법","배당락","정보형","배당락 손해 안 보는 방법, 핵심 체크포인트","배당락 하락은 손해가 아니라는 원리 / 배당금+주가 합산 관점으로 보기",4
"월배당 ETF 분배금 언제","월배당 ETF","정보형","월배당 ETF 분배금 언제 들어오나, 지급일 정리","분배기준일과 실제 지급일 차이 / 대표 ETF 월별 지급 스케줄 표",5
"월배당 ETF 세금 계산","월배당 ETF","정보형","월배당 ETF 세금 계산, 분배금 과세 한눈에","배당소득세 15.4% 원천징수 / 국내·해외 ETF 과세 차이와 금융소득종합과세",6
"월배당 ETF 단점 초보","월배당 ETF","정보형","월배당 ETF 단점, 초보가 꼭 알아야 할 함정","분배금이 원금 일부일 수 있음 / 총수익률·세금·수수료까지 따지기",7
"연금저축 세액공제 계산 방법","연금저축","정보형","연금저축 세액공제 계산 방법, 환급액 직접 구하기","소득별 공제율 13.2% vs 16.5% / 한도 600만원 기준 예시 계산",8
"IRP 세액공제 계산 방법","IRP","정보형","IRP 세액공제 계산 방법, 연말정산 환급 미리보기","연금저축 합산 900만원 한도 / 소득 구간별 공제율 적용 예시",9
"연금저축 세액공제 한도","연금저축","정보형","연금저축 세액공제 한도, 600만원 정확히 채우는 법","연 600만원 한도와 IRP 합산 900만원 구조 / 납입한도와 혼동 주의",10
"IRP 세액공제 한도","IRP","정보형","IRP 세액공제 한도, 900만원 합산 규칙 정리","IRP 단독·연금저축 합산 900만원 / 납입한도 1800만원과 구분",11
"배당금 계산 방법","배당","정보형","배당금 계산 방법, 내 주식 배당 얼마인지 구하기","주당배당금 × 보유주수 기본식 / 세전·세후(15.4%) 구분 예시",12
"배당소득세 계산 방법","배당","정보형","배당소득세 계산 방법, 15.4% 떼는 구조 정리","원천징수 15.4%(지방세 포함) 구성 / 2천만원 초과 금융소득종합과세",13
"배당 언제 들어오나","배당","정보형","배당 언제 들어오나, 기준일부터 입금까지 일정","배당기준일에서 지급일까지 통상 2~3개월 / 결산·중간배당 차이",14
"배당락 주가 하락 이유","배당락","정보형","배당락 주가 하락 이유, 떨어져도 손해 아닌 까닭","배당만큼 권리가 빠져 이론적으로 조정 / 시장 수급에 따른 실제 움직임",15
"배당락일 확인하는 방법","배당락","실행형","배당락일 확인하는 방법, 증권사 앱으로 1분 만에","MTS·기업 IR·전자공시(DART) 확인 경로 / 화면 캡처로 단계 안내",16
"배당 받는 방법 초보","배당","정보형","배당 받는 방법, 초보가 따라 하는 4단계","기준일 전 매수→보유→자동 입금 흐름 / 계좌 준비와 종목 고르기",17
"배당 재투자 방법","배당","실행형","배당 재투자 방법, 복리로 굴리는 실전 가이드","수동 재매수 vs 자동 재투자 옵션 / 복리 효과 간단 시뮬레이션",18
"월배당 ETF 시작 방법 초보","월배당 ETF","실행형","월배당 ETF 시작 방법, 계좌개설부터 매수까지","계좌 종류 선택과 개설 단계 / 종목 검색·매수, 분배금 확인 방법",19
"월 50만원 배당 ETF 계산","월배당 ETF","실행형","월 50만원 배당, ETF로 만들려면 얼마 필요할까","목표배당 ÷ 분배율로 필요원금 역산 / 세후 기준·수익률 가정 명시",20
"연금저축 중도해지 불이익","연금저축","정보형","연금저축 중도해지 불이익, 토해내는 세금 정리","기타소득세 16.5% 추징 구조 / 세액공제 받은 원금+운용수익이 대상",21
"연금저축 한도 초과하면","연금저축","정보형","연금저축 한도 초과하면? 공제 안 되는 돈 처리법","세액공제 한도와 납입한도 구분 / 초과 납입분 이월공제 신청",22
"IRP 중도인출 방법","IRP","실행형","IRP 중도인출 방법, 가능한 사유와 세금","무주택·의료 등 법정 인출사유 / 일반 인출 시 세금·불이익",23
"연금저축 가입 방법 초보","연금저축","실행형","연금저축 가입 방법, 초보가 증권사에서 여는 법","연금저축펀드 계좌개설 단계 / 펀드·ETF 등 상품 선택 기준",24
"분기배당 vs 연배당 차이","배당","비교형","분기배당 vs 연배당, 뭐가 더 유리할까","지급 주기와 현금흐름 차이 / 재투자 복리·대표 종목 비교표",25
"월배당 ETF 연금저축 가능한지","월배당 ETF","정보형","월배당 ETF, 연금저축 계좌에서 살 수 있을까","계좌 내 매수 가능 범위(국내 상장 ETF) / 해외 직투 ETF 제한",26
"IRP 연말정산 환급 계산","IRP","정보형","IRP 연말정산 환급 계산, 얼마나 돌려받나","납입액 × 공제율로 환급 추정 / 한도·소득 기준에 따른 차이 주의",27
"시황 보는 방법 초보","시황","정보형","시황 보는 방법, 초보가 매일 챙길 5가지","지수·환율·금리·업종 흐름 핵심 / 어디서 확인하는지 출처 정리",28
"미국 시황 한국 영향","시황","정보형","미국 시황이 한국 증시에 미치는 영향","전날 미국장→다음날 한국장 연동 원리 / 환율·반도체 등 연결고리",29
"금리 인상 시황 영향","시황","정보형","금리 인상이 시황에 미치는 영향, 쉽게 정리","금리 상승이 성장주·채권·환율에 주는 영향 / 섹터별 반응 차이",30
"ISA 계좌란","ISA 계좌","정보형","ISA 계좌란 무엇인가, 개인종합자산관리계좌 쉽게 정리","예금·펀드·ETF를 하나의 계좌에서 통합 관리하는 구조 / 연금저축·IRP와 다른 점",31
"ISA 계좌 종류 비교","ISA 계좌","비교형","ISA 계좌 종류 비교, 일반형·서민형·농어민형 차이","소득 기준별 자격 요건 / 비과세 한도 차이(200만 vs 400만)와 유리한 유형 판단",32
"ISA 계좌 비과세 한도","ISA 계좌","정보형","ISA 계좌 비과세 한도, 200만원 구조 한눈에 정리","일반형 200만원·서민형 400만원 비과세 / 초과분 9.9% 분리과세로 절세되는 원리",33
"ISA 계좌 납입 한도","ISA 계좌","정보형","ISA 계좌 납입 한도, 연 2000만원 이월 방법까지","연 2000만원·총 1억원 한도 / 미납입분 다음 해 이월 가능 여부와 활용 팁",34
"ISA 계좌 개설 방법 초보","ISA 계좌","실행형","ISA 계좌 개설 방법, 초보가 앱으로 5분 만에 여는 법","증권사·은행 중 선택 기준 / 서민형 자격 확인 방법과 개설 단계 캡처 안내",35
"ISA 계좌 ETF 투자 방법","ISA 계좌","실행형","ISA 계좌로 ETF 투자하는 방법, 비과세 활용 실전","계좌 내 ETF 매수 가능 범위(국내 상장 ETF) / 분배금 비과세 적용 확인법",36
"ISA 계좌 단점","ISA 계좌","정보형","ISA 계좌 단점, 가입 전 꼭 알아야 할 주의사항","의무가입기간 3년 제약과 중도해지 시 혜택 소멸 / 금융소득종합과세자 가입 불가",37
"ISA 계좌 연금저축 비교","ISA 계좌","비교형","ISA 계좌 vs 연금저축, 뭐가 더 유리할까","비과세(ISA) vs 세액공제(연금저축) 구조 차이 / 목적별·연령별 조합 전략",38
"ISA 만기 연금 전환","ISA 계좌","실행형","ISA 계좌 만기 후 연금계좌 전환, 추가 혜택까지 챙기는 법","만기 자산 연금계좌 이전 시 추가 세액공제 300만원 / 이전 절차와 기한 주의사항",39
"ISA 계좌 중도해지","ISA 계좌","정보형","ISA 계좌 중도해지 하면 어떻게 되나, 불이익 정리","비과세·분리과세 혜택 전부 소멸 / 사망·해외이주 등 부득이한 사유 예외 조건",40
"월배당 ETF 추천 기준","월배당 ETF","정보형","월배당 ETF 고르는 기준 3가지 초보가 확인할 것","분배율·운용보수·순자산 규모 기준 설명 / 특정 종목 단정 금지",41
"월배당 ETF 포트폴리오","월배당 ETF","실행형","월배당 ETF 포트폴리오 만드는 법 분산 구성 실전","국내·해외·채권형 분산 비중 예시 / 종목 단정 금지",42
"커버드콜 ETF","월배당 ETF","정보형","커버드콜 ETF란 무엇인가 높은 분배율의 이유와 단점","옵션 프리미엄 구조 설명 / 주가 상승 제한 리스크",43
"월배당 ETF 분배율 계산","월배당 ETF","실행형","월배당 ETF 분배율 계산법 연 수익률로 환산하는 법","월 분배금 연환산 공식 / 계산 예시",44
"월배당 ETF 재투자","월배당 ETF","실행형","월배당 ETF 분배금 재투자 복리 효과 극대화 방법","자동 재투자 vs 수동 재투자 / 복리 시뮬레이션 예시",45
"월배당 ETF 세금 절약","월배당 ETF","실행형","월배당 ETF 세금 줄이는 법 ISA 계좌 활용 실전","ISA 내 월배당 ETF 운용 절세 구조 / 일반계좌 비교",46
"월배당 ETF 단점 심화","월배당 ETF","정보형","월배당 ETF 장기 보유 시 주의할 점 분배율 함정","순자산가치 감소 리스크 / 분배율 높다고 무조건 유리하지 않은 이유",47
"월배당 ETF 연금저축","월배당 ETF","실행형","월배당 ETF 연금저축 계좌에서 운용하는 법","연금저축 내 편입 가능 ETF 범위 / 분배금 과세 이연 효과",48
"월배당 ETF vs 배당주","월배당 ETF","비교형","월배당 ETF vs 배당주 직접 투자 뭐가 더 유리할까","분산·편의성(ETF) vs 종목 선택 자유도(배당주) 비교 / 선택 기준",49
"월배당 ETF 노후 활용","월배당 ETF","정보형","월배당 ETF로 노후 현금흐름 만드는 법 실전 전략","월 현금흐름 설계 방법 / ISA·연금저축 연계 활용",50
"연금저축 ETF 운용","연금저축·IRP","정보형","연금저축 계좌에서 살 수 있는 ETF 고르는 기준","연금저축 편입 가능 ETF 범위 / 장기 운용 기준",51
"IRP ETF 운용","연금저축·IRP","정보형","IRP 계좌 ETF 운용법 위험자산 70% 한도 채우는 법","위험자산·안전자산 비율 규정 / 편입 가능 ETF 종류",52
"연금저축 IRP 동시 운영","연금저축·IRP","실행형","연금저축과 IRP 동시에 운영하는 법 한도 배분 전략","세액공제 한도 600+300 배분 / 운용 목적별 분리",53
"연금 수령 나이","연금저축·IRP","정보형","연금저축·IRP 수령 나이 55세 이후 전략 정리","수령 개시 나이 조건 / 수령 기간별 세율 차이",54
"연금소득세","연금저축·IRP","정보형","연금소득세란 무엇인가 연금 받을 때 세금 구조","연금소득세율(3.3~5.5%) / 종합과세 vs 분리과세 기준 확인 필요",55
"연금 수령 방법","연금저축·IRP","실행형","연금저축 수령 방법 일시금 vs 연금 어떤 게 유리할까","일시금 기타소득세 vs 연금소득세 비교 / 선택 기준",56
"ISA IRP 연금저축 조합","연금저축·IRP","비교형","ISA·IRP·연금저축 조합 전략 세 계좌 함께 쓰는 법","단계별 활용 순서 / ISA 만기 연금전환 포함",57
"퇴직금 IRP","연금저축·IRP","정보형","퇴직금 IRP 입금 후 어떻게 운용할까 초보 가이드","의무 IRP 입금 규정 / 운용 상품 선택 기준",58
"연금 수령액 계산","연금저축·IRP","실행형","내 연금 수령액 계산법 노후 월 얼마 받을 수 있을까","납입액·수익률·기간 기반 계산 공식 / 예시",59
"노후 준비 계좌 비교","연금저축·IRP","비교형","ISA·연금저축·IRP 노후 준비 계좌 총정리 순서와 전략","세 계좌 역할 분담 / 가입 우선순위 추천",60
